#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006355	regulation of transcription, DNA-templated	11	3388	0.76	5.03e-05	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000300131,9606.ENSP00000349508,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,MYOD1,TCF3,RB1,NAB2,CHD4,ID4,TCF4,TCF12
GO:0006357	regulation of transcription by RNA polymerase II	10	2172	0.91	5.03e-05	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000349508,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,MYOD1,TCF3,RB1,CHD4,ID4,TCF4,TCF12
GO:0045893	positive regulation of transcription, DNA-templated	9	1587	1.0	5.03e-05	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,MYOD1,TCF3,RB1,ID4,TCF4,TCF12
GO:0045944	positive regulation of transcription by RNA polymerase II	8	1253	1.06	5.03e-05	9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	PKD2,EGR2,MYOD1,TCF3,RB1,ID4,TCF4,TCF12
GO:0051173	positive regulation of nitrogen compound metabolic process	10	3239	0.74	0.00013	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000300131,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,MYOD1,TCF3,RB1,NAB2,ID4,TCF4,TCF12
GO:0060284	regulation of cell development	7	956	1.11	0.00016	9606.ENSP00000234091,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,EGR2,MYOD1,TCF3,ID4,TCF4,TCF12
GO:0007399	nervous system development	9	2371	0.83	0.00017	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000300131,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,TCF3,RB1,NAB2,ID4,TCF4,TCF12
GO:0010720	positive regulation of cell development	6	556	1.28	0.00017	9606.ENSP00000234091,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000381382,9606.ENSP00000388940	ID2,EGR2,MYOD1,TCF3,TCF4,TCF12
GO:0031325	positive regulation of cellular metabolic process	10	3413	0.72	0.00017	9606.ENSP00000234091,9606.ENSP00000237596,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000300131,9606.ENSP00000367972,9606.ENSP00000381382,9606.ENSP00000388940	ID2,PKD2,EGR2,MYOD1,TCF3,RB1,NAB2,ID4,TCF4,TCF12
GO:0045597	positive regulation of cell differentiation	7	993	1.1	0.00017	9606.ENSP00000234091,9606.ENSP00000242480,9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000267163,9606.ENSP00000381382,9606.ENSP00000388940	ID2,EGR2,MYOD1,TCF3,RB1,TCF4,TCF12
