#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006357	regulation of transcription by RNA polymerase II	11	2172	0.95	5.67e-07	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0010628	positive regulation of gene expression	11	2337	0.92	6.33e-07	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:1903508	positive regulation of nucleic acid-templated transcription	10	1670	1.03	1.25e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0045595	regulation of cell differentiation	10	1874	0.98	1.95e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0051173	positive regulation of nitrogen compound metabolic process	11	3239	0.78	4.14e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0031325	positive regulation of cellular metabolic process	11	3413	0.76	6.23e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0060284	regulation of cell development	8	956	1.17	6.23e-06	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0030154	cell differentiation	11	3702	0.72	1.10e-05	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0050767	regulation of neurogenesis	7	828	1.18	4.45e-05	9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	TCF3,EP300,ID1,TCF4,FOXO3,CREB1,TCF12
GO:0048731	system development	11	4426	0.65	4.85e-05	9606.ENSP00000250003,9606.ENSP00000262965,9606.ENSP00000263253,9606.ENSP00000264824,9606.ENSP00000339191,9606.ENSP00000363689,9606.ENSP00000365280,9606.ENSP00000381382,9606.ENSP00000385824,9606.ENSP00000387699,9606.ENSP00000388940	MYOD1,TCF3,EP300,LYL1,CAV1,ID3,ID1,TCF4,FOXO3,CREB1,TCF12
